date,/m/07mf1
2020-02-01,3.0
2020-02-02,5.0
2020-02-03,5.0
2020-02-04,3.0
2020-02-05,4.0
2020-02-06,4.0
2020-02-07,5.0
2020-02-08,2.0
2020-02-09,4.0
2020-02-10,4.0
2020-02-11,4.0
2020-02-12,4.0
2020-02-13,8.0
2020-02-14,4.0
2020-02-15,4.0
2020-02-16,3.0
2020-02-17,4.0
2020-02-18,4.0
2020-02-19,2.0
2020-02-20,3.0
2020-02-21,2.0
2020-02-22,5.0
2020-02-23,4.0
2020-02-24,4.0
2020-02-25,4.0
2020-02-26,6.0
2020-02-27,6.0
2020-02-28,3.0
2020-02-29,5.0
2020-03-01,6.0
2020-03-02,5.0
2020-03-03,8.0
2020-03-04,6.0
2020-03-05,9.0
2020-03-06,8.0
2020-03-07,10.0
2020-03-08,8.0
2020-03-09,12.0
2020-03-10,14.0
2020-03-11,18.0
2020-03-12,45.0
2020-03-13,61.0
2020-03-14,55.0
2020-03-15,67.0
2020-03-16,81.0
2020-03-17,100.0
2020-03-18,69.0
2020-03-19,51.0
2020-03-20,38.0
2020-03-21,38.0
2020-03-22,37.0
2020-03-23,36.0
2020-03-24,27.0
2020-03-25,24.0
2020-03-26,23.0
2020-03-27,26.0
2020-03-28,24.0
2020-03-29,23.0
2020-03-30,20.0
2020-03-31,16.0
2020-04-01,18.0
2020-04-02,16.0
2020-04-03,16.0
2020-04-04,15.0
2020-04-05,13.0
2020-04-06,16.0
2020-04-07,15.0
2020-04-08,17.0
2020-04-09,13.0
2020-04-10,11.0
2020-04-11,10.0
2020-04-12,8.0
2020-04-13,11.0
2020-04-14,11.0
2020-04-15,13.0
2020-04-16,11.0
2020-04-17,9.0
2020-04-18,10.0
2020-04-19,10.0
2020-04-20,11.0
2020-04-21,9.0
2020-04-22,7.0
2020-04-23,9.0
2020-04-24,8.0
2020-04-25,7.0
2020-04-26,10.0
2020-04-27,9.0
2020-04-28,10.0
2020-04-29,10.0
2020-04-30,10.0
2020-05-01,10.0
2020-05-02,18.0
2020-05-03,12.0
2020-05-04,12.0
2020-05-05,10.0
2020-05-06,11.0
2020-05-07,9.0
2020-05-08,9.0
2020-05-09,9.0
2020-05-10,8.0
2020-05-11,8.0
2020-05-12,10.0
2020-05-13,10.0
2020-05-14,13.0
2020-05-15,8.0
2020-05-16,9.0
2020-05-17,8.0
2020-05-18,8.0
2020-05-19,10.0
2020-05-20,7.0
2020-05-21,8.0
2020-05-22,9.0
2020-05-23,6.0
2020-05-24,7.0
2020-05-25,7.0
2020-05-26,8.0
2020-05-27,7.0
2020-05-28,7.0
2020-05-29,8.0
2020-05-30,5.0
2020-05-31,7.0
2020-06-01,9.0
2020-06-02,7.0
2020-06-03,8.0
2020-06-04,7.0
2020-06-05,6.0
2020-06-06,7.0
2020-06-07,6.0
2020-06-08,7.0
2020-06-09,6.0
2020-06-10,7.0
2020-06-11,5.0
2020-06-12,5.0
2020-06-13,5.0
2020-06-14,8.0
2020-06-15,8.0
